Time,Core Temperatures,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7
00:06:55,38,38,39,38,38,38,38,38,38
00:06:57,38,38,39,38,39,38,37,38,38
00:06:59,38,38,39,38,38,38,38,39,38
00:07:01,38,38,38,38,38,38,38,39,38
00:07:03,38,38,40,39,38,38,38,39,38
00:07:05,38,37,39,38,38,39,38,39,38
00:07:07,38,38,38,38,38,38,38,39,38
00:07:09,38,38,38,37,38,38,38,39,37
00:07:11,38,38,39,38,38,38,38,39,38
00:07:13,39,39,40,39,39,39,39,39,39
00:07:15,38,38,39,37,38,38,38,38,38
00:07:17,38,38,39,38,38,38,38,38,38
00:07:19,38,38,38,38,39,38,38,38,38
00:07:21,38,39,39,38,39,38,38,39,38
00:07:23,38,38,39,38,38,38,38,39,38
00:07:25,39,38,40,39,39,39,39,39,39
00:07:27,38,38,38,38,39,38,38,38,38
00:07:29,38,38,39,38,39,38,38,38,38
00:07:31,38,37,39,38,39,38,38,39,38
00:07:33,38,37,39,39,39,38,38,38,38
00:07:35,38,38,39,38,39,38,38,39,38
00:07:37,38,38,39,37,38,39,38,38,38
00:07:39,38,37,38,38,39,38,38,39,38
00:07:41,38,38,39,38,38,39,37,38,38
00:07:43,38,38,39,38,38,38,38,39,38
00:07:45,38,38,39,38,38,38,37,38,38
00:07:47,38,38,38,38,38,38,38,38,38
00:07:49,38,37,39,38,38,38,38,39,38
00:07:51,38,38,39,38,38,38,38,39,38
00:07:53,38,38,39,38,38,39,38,38,38
00:07:55,38,37,39,38,38,38,38,39,38
00:07:57,38,37,39,38,39,38,38,39,38
00:07:59,38,37,39,38,38,38,38,38,38
00:08:01,38,38,38,38,38,38,38,38,38
00:08:03,38,38,39,38,38,38,38,38,38
00:08:05,38,38,39,38,38,38,38,39,38
00:08:07,38,38,39,38,38,38,38,39,38
00:08:09,38,38,38,38,38,38,37,39,38
00:08:11,38,38,39,38,38,38,38,39,38
00:08:13,38,38,38,38,39,39,38,39,38
00:08:15,38,38,38,38,38,39,38,39,38
00:08:17,38,38,38,38,38,38,38,38,38
00:08:19,38,37,38,38,39,39,38,40,38
00:08:21,38,37,39,37,38,38,37,38,38
00:08:23,38,37,38,38,38,38,37,39,38
00:08:25,38,37,39,38,38,38,38,39,38
00:08:27,38,37,38,38,38,38,38,39,38
00:08:29,38,37,39,38,38,38,38,39,38
00:08:31,38,37,39,38,38,38,37,39,38
00:08:33,38,39,38,38,37,38,37,38,38
00:08:35,38,37,38,38,38,38,38,38,38
00:08:37,38,38,38,38,38,38,38,38,38
00:08:39,38,37,39,37,38,38,38,38,38
00:08:41,38,37,38,38,38,38,38,39,38
00:08:43,38,37,38,38,38,38,38,38,38
00:08:45,38,38,39,39,38,38,38,38,38
00:08:47,38,37,38,39,38,38,38,38,38
00:08:49,38,37,38,38,37,38,37,39,38
00:08:51,38,37,38,38,38,38,37,38,38
00:08:53,38,37,38,38,38,38,38,38,38
00:08:55,38,37,38,38,37,38,37,38,37
00:08:57,38,37,38,37,38,38,37,38,38
00:08:59,38,37,38,37,38,38,37,38,38
00:09:01,38,37,39,39,37,38,37,38,38
00:09:03,38,37,38,38,37,38,37,38,38
00:09:05,38,37,38,38,38,38,37,38,38
00:09:07,38,37,38,38,38,38,37,38,38
00:09:09,38,37,38,38,38,38,37,38,38
00:09:11,38,37,37,38,38,38,38,38,38
00:09:13,38,37,38,38,38,38,37,39,38
00:09:15,38,37,39,38,38,38,37,38,38
00:09:17,38,37,38,38,37,38,37,38,37
00:09:19,38,37,38,37,38,38,37,39,38
00:09:21,38,38,37,38,38,38,37,38,38
00:09:23,38,37,38,38,38,38,37,38,38
00:09:25,38,37,39,38,38,38,37,38,38
00:09:27,38,38,38,38,37,38,37,39,37
00:09:29,38,37,38,38,37,38,37,38,37
00:09:31,38,37,38,38,38,38,38,39,37
00:09:33,38,37,38,38,37,38,38,38,38
00:09:35,38,37,38,38,38,38,37,39,38
00:09:37,38,37,38,38,38,38,37,38,38
00:09:39,38,37,39,38,38,38,38,38,38
00:09:41,38,37,38,38,37,38,38,39,38
00:09:43,38,37,39,38,38,38,37,39,38
00:09:45,38,38,38,37,38,38,37,38,38
00:09:47,39,38,42,38,38,38,38,38,39
00:09:49,38,37,38,38,38,38,38,39,38
00:09:51,38,38,38,38,38,38,37,39,38
00:09:53,38,37,40,38,38,38,38,38,38
00:09:55,38,37,38,38,38,38,37,38,37
00:09:57,38,37,38,38,38,38,38,38,38
00:09:59,38,37,38,38,38,38,37,38,38
00:10:01,38,38,38,38,38,38,37,39,38
00:10:03,38,37,38,38,38,38,38,38,38
00:10:05,37,37,37,37,37,38,37,38,38
00:10:07,41,38,54,38,39,38,38,39,45
00:10:09,38,37,38,38,37,38,37,38,38
00:10:11,38,37,38,37,38,38,37,38,38
00:10:13,38,37,38,38,38,38,37,38,38
00:10:15,38,37,38,38,38,38,37,38,38
00:10:17,38,37,38,38,38,38,37,39,38
00:10:19,38,37,38,38,38,38,37,38,38
00:10:21,38,37,38,37,37,38,37,38,38
00:10:23,38,38,39,38,38,38,38,38,38
00:10:25,38,37,39,38,37,38,37,38,37
00:10:27,38,37,38,38,37,38,37,38,38
00:10:29,38,36,38,38,38,39,37,38,38
00:10:31,38,37,38,37,38,38,38,39,38
00:10:33,38,37,38,37,37,38,37,39,38
00:10:35,38,37,38,38,37,38,37,39,38
00:10:37,38,37,37,38,37,38,37,38,38
00:10:39,38,38,38,37,38,38,37,38,37
00:10:41,38,37,38,38,37,38,37,38,38
00:10:43,38,37,38,37,38,37,37,38,38
00:10:45,37,37,38,37,37,37,37,39,37
00:10:47,38,37,38,38,37,38,38,38,38
00:10:49,38,38,38,38,37,37,37,38,38
00:10:51,38,37,38,37,38,37,37,38,38
00:10:53,38,37,38,37,37,38,37,38,38
00:10:55,38,37,38,38,37,38,38,38,38
00:10:57,38,37,38,37,38,38,37,38,37
00:10:59,38,37,38,37,38,37,37,38,38
00:11:01,38,37,38,37,38,38,37,38,38
00:11:03,38,37,38,38,38,38,37,38,37
00:11:05,38,38,38,37,38,38,38,38,38
00:11:07,38,38,38,37,38,38,37,38,38
00:11:09,38,37,37,38,37,38,37,38,38
00:11:11,38,38,38,38,37,38,37,38,38
00:11:13,38,37,38,37,37,38,37,38,38
00:11:15,38,37,38,38,37,38,38,39,38
00:11:17,39,38,39,38,39,39,38,39,39
00:11:19,38,38,39,38,38,38,38,39,38
00:11:21,46,64,46,47,45,42,44,41,42
00:11:23,39,38,39,39,39,39,38,39,38
00:11:25,38,38,39,38,38,38,38,39,38
00:11:27,38,37,39,38,38,38,38,39,38
00:11:29,38,38,39,38,38,38,38,38,39
00:11:31,38,38,39,39,38,38,38,39,38
00:11:33,38,38,39,39,38,39,38,38,38
00:11:35,38,37,39,38,38,38,38,38,38
00:11:37,38,38,39,38,38,38,38,38,38
00:11:39,40,40,41,40,40,41,40,39,39
00:11:41,38,38,39,38,38,38,38,38,38
00:11:43,38,37,38,38,39,38,37,39,38
00:11:45,38,38,39,38,38,38,38,39,38
00:11:47,38,37,39,38,39,38,38,38,39
00:11:48,39,38,40,39,39,39,39,39,39
00:11:51,38,38,39,38,38,38,38,39,38
00:11:53,38,38,38,38,39,39,38,39,39
00:11:55,38,38,39,38,38,39,38,38,38
00:11:57,38,37,38,38,38,39,39,39,38
00:11:59,38,38,39,38,38,38,38,38,38
00:12:01,38,38,39,38,38,39,38,39,38
00:12:03,38,37,38,38,38,39,38,39,38
00:12:05,38,37,39,38,38,38,38,38,38
00:12:06,38,38,39,38,38,38,38,39,38
00:12:09,38,37,38,38,38,38,38,38,38
00:12:11,38,38,39,39,38,38,38,38,38
00:12:13,38,37,38,38,39,39,38,39,39
00:12:15,38,38,39,38,38,38,38,38,38
00:12:16,38,38,39,38,38,38,37,38,38
